,HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,ULATIVE FROM JULY,Unnamed: 6
0,,,,QUANTITY,VALUE,QUANTITY,VALUE
420,3034300.0,SKIPJACK OR STRIPE-BELLIED.FZ,KG,,,,
421,,China,,,,,
422,3034900.0,OTH TUNAS EXCL LIVER/ROE FROZ,KG,34400,4887,658650,116571
423,,Bahrain,,,,,
424,,"Korea, Republic of",,,,,
425,,Kuwait,,,,,
426,,Malaysia,,,,183350,29376
427,,Oman,,,,,
428,,Qatar,,,,,
429,,Saudi Arabia,,,,81200,14424
430,,Thailand,,,,7000,1194
431,,U.S.America,,,,,
432,,United Arab Emirates,,34400,4887,242100,42844
433,,Viet Nam,,,,145000,28733
434,3035300.0,SARDINES EX.LIVER&OES FROZEN,KG,805970,53909,2906600,232665
435,,China,,,,132500,9082
436,,Indonesia,,561470,32848,1804880,111283
437,,Japan,,80000,5016,80000,5016
438,,"Korea, Republic of",,,,25000,3374
439,,Malaysia,,,,54000,10345
440,,O.Asia(Tai.For.Pe.Ki,,,,210330,13732
441,,Samoa,,164500,16045,190400,18283
442,,Thailand,,,,389490,58068
443,,U.S.America,,,,20000,3482
444,3035400.0,"MACKERAL,EXCL LIVER/ROES FRZEN",KG,,,3799408,587537
445,,Indonesia,,,,152000,19959
446,,Malaysia,,,,588290,89068
447,,Saudi Arabia,,,,46470,6839
448,,Thailand,,,,3012648,471670
449,3038200.0,RAYS&SKATES.EX.LIV&ROES.FROXEN,KG,21000,2304,91700,14385
450,,China,,21000,2304,21000,2304
451,,Malaysia,,,,18180,5256
452,,Thailand,,,,52520,6824
453,3038900.0,OTH FISH FROZEN EXCL.LIVER&ROE,KG,25910,5685,110728,23220
454,,Afghanistan,,,,,
455,,China,,25910,5685,102373,22304
456,,Cyprus,,,,,
457,,Japan,,,,,
458,,"Korea, Republic of",,,,,
459,,Malaysia,,,,8355,916
460,,Thailand,,,,,
461,,United Kingdom,,,,,
462,,Viet Nam,,,,,
463,3039100.0,"FISH LIVERS,ROES,MILT FROZEN",KG,,,14490,2014
464,,Saudi Arabia,,,,3500,583
465,,United Arab Emirates,,,,10990,1431
466,3039900.0,OTH EDIBLE FISH OFFAL FROZEN,KG,,,324,80
467,,Thailand,,,,324,80
468,3043200.0,CATFISH F.FILLET&MEAT.FRE/CHI,KG,,,,
469,,Canada,,,,,
470,3043900.0,OTH FISH FILLET/MEAT FRESH/CHI,KG,,,274544,62081
471,,Hong Kong S.A.Re.Chi,,,,,
472,,Malaysia,,,,42210,12718
473,,Thailand,,,,232334,49363
474,,Viet Nam,,,,,
475,3049200.0,OTH FROZ FILLET/MEAT.TOOTHFISH,KG,,,,
476,,United Kingdom,,,,,
477,3049900.0,OT FISH FILET/MEAT FRE/CH/FROZ,KG,534802,111834,13599312,3102669
478,,China,,,,438458,92492
479,,Hong Kong S.A.Re.Chi,,,,64880,18690
480,,Indonesia,,,,70650,18659
481,,Japan,,99780,22950,1417034,319307
482,,"Korea, Republic of",,49200,8524,3265498,827295
483,,Malaysia,,18000,4158,1821643,447418
484,,O.Asia(Tai.For.Pe.Ki,,,,12320,3248
485,,Saudi Arabia,,,,,
486,,Singapore,,,,38000,8778
487,,Sri Lanka,,,,,
488,,Thailand,,339422,69985,5344109,1137679
489,,United Arab Emirates,,,,10692,2553
490,,Viet Nam,,28400,6217,1116028,226551
491,3051000.0,"FLOUR,MEAL&PELTS FOR FOR HUMAN",KG,173900,14060,14229384,1738548
492,,China,,,,12115975,1520118
493,,Egypt(U.A.R.),,,,,
494,,Indonesia,,,,100000,20859
495,,Sri Lanka,,,,76000,7439
496,,Viet Nam,,173900,14060,1937409,190132
497,3052000.0,"LIVERS&ROES,DRIED,SMOKED,SALT",KG,30139,4282,154256,20242
498,,Bangladesh,,30139,4282,154256,20242
499,3053900.0,OTH FISH FILLE/D/S/BR.NOT SMOK,KG,474900,35380,6033800,714250
500,,Bahrain,,,,,
501,,Bangladesh,,,,,
502,,China,,,,12400,1217
503,,Hong Kong S.A.Re.Chi,,,,,
504,,Malaysia,,,,12845,1927
505,,Sri Lanka,,,,,
506,,Thailand,,,,30000,2919
507,,Viet Nam,,474900,35380,5978555,708187
508,3054900.0,OTH SMOKED FISH&FILLET NOT EDI,KG,,,98013,13289
509,,Sri Lanka,,,,,
510,,Viet Nam,,,,98013,13289
511,3055900.0,OTH DRIED FISH SALT NOT SMOKED,KG,63379,11702,769431,143516
512,,Afghanistan,,,,,
513,,Bahrain,,,,3740,496
514,,Bangladesh,,37288,5716,274681,43750
515,,Canada,,,,,
516,,China,,,,,
517,,Hong Kong S.A.Re.Chi,,4431,1732,50526,10715
518,,Indonesia,,,,,
519,,Japan,,,,,
520,,"Korea, Republic of",,,,,
521,,Malaysia,,,,4515,1580
522,,Mauritius,,,,490,158
523,,O.Asia(Tai.For.Pe.Ki,,,,,
524,,Saudi Arabia,,,,,
525,,Singapore,,,,38895,5512
526,,Sri Lanka,,,,374924,77052
527,,United Arab Emirates,,,,,
528,,Viet Nam,,21660,4253,21660,4253
529,3056900.0,"OTH FISH SALT,NOT DRIED/SMOKED",KG,,,16280,4059
530,,Viet Nam,,,,16280,4059
531,3057200.0,"FISH HEADS, TAILS&MAWS EDIBLE",KG,,,1134,422
532,,Thailand,,,,1134,422
533,3061100.0,ROCK LOBSTER&SEA CRAWFISH FROZ,KG,,,4825,3601
534,,Hong Kong S.A.Re.Chi,,,,530,211
535,,Kuwait,,,,,
536,,Malaysia,,,,1110,422
537,,O.Asia(Tai.For.Pe.Ki,,,,195,79
538,,Oman,,,,,
539,,Qatar,,,,,
540,,Saudi Arabia,,,,2890,2852
541,,Thailand,,,,,
542,,United Arab Emirates,,,,100,37
543,3061200.0,LOBSTERS FIT FOR HUMAN.FROZEN,KG,2490,2602,112893,105452
544,,Bahrain,,,,,
545,,Canada,,,,81,71
546,,China,,,,20205,19667
547,,Hong Kong S.A.Re.Chi,,630,753,35104,38485
548,,Jordan,,,,60,44
549,,"Korea, Republic of",,,,40,32
550,,Kuwait,,,,421,339
551,,Lebanon,,,,15,10
552,,Malaysia,,,,225,260
553,,O.Asia(Tai.For.Pe.Ki,,,,2795,2535
554,,Oman,,,,11,8
555,,Qatar,,180,158,11742,9784
556,,Saudi Arabia,,1545,1535,5005,4130
557,,Singapore,,135,156,6568,6529
558,,Thailand,,,,6147,4267
559,,United Arab Emirates,,,,24320,19166
560,,Viet Nam,,,,154,125
561,3061400.0,CRABS FROZEN FIT FOR HUMAN CON,KG,396637,124614,5699352,1805794
562,,Canada,,,,7183,2502
563,,China,,60030,26508,1007135,380233
564,,Hong Kong S.A.Re.Chi,,,,33542,14666
565,,Indonesia,,,,160000,43580
566,,Japan,,8312,2817,8312,2817
567,,Jordan,,,,80,27
568,,"Korea, Republic of",,48887,16215,941686,298887
569,,Malaysia,,34200,7457,98136,24653
570,,O.Asia(Tai.For.Pe.Ki,,7920,2432,13836,4268
571,,Qatar,,,,159,54
572,,Saudi Arabia,,,,360,114
573,,Singapore,,,,6110,2022
574,,Sri Lanka,,,,36,11
575,,Thailand,,203600,59912,3299857,995316
576,,U.S.America,,,,550,297
577,,United Arab Emirates,,,,40946,13192
578,,Viet Nam,,33688,9272,81424,23153
579,3061600.0,COLD WATER SHRIMPS&PRAWNS FROZ,KG,,,21566,17046
580,,Japan,,,,12924,11392
581,,Qatar,,,,1762,1187
582,,United Arab Emirates,,,,6880,4467
583,3061700.0,OTHER SHRIMPS & PRAWNS FROZEN,KG,524076,379849,10776074,7028664
584,,Bahrain,,,,165905,104425
585,,Belgium,,12720,9813,32940,22155
586,,Canada,,,,10,5
587,,China,,75600,39480,2399487,1502212
588,,Egypt(U.A.R.),,,,39760,21035
589,,Hong Kong S.A.Re.Chi,,,,13666,13205
590,,India,,,,,
591,,Japan,,52517,41489,959295,742586
592,,Jordan,,208,144,7643,5139
593,,"Korea, Republic of",,,,21637,8720
594,,Kuwait,,12300,8524,466353,289311
