,HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6
0,,,,QUANTITY,VALUE,QUANTITY,VALUE
533,,Viet Nam,,,,,
534,3036300.0,COD FISH EXCL LVR/ROES FROZEN,KG,,,1500,419
535,,Saudi Arabia,,,,1500,419
536,3036800.0,BLUE WHITINGS EX.LIVER/ROE FRZ,KG,,,,
537,,"Korea, Republic of",,,,,
538,3036900.0,O.BREGMACEROTIDAE FAMLI FISH,KG,100974,12076,100974,12076
539,,Iraq,,25000,3429,25000,3429
540,,Kuwait,,31620,3380,31620,3380
541,,Saudi Arabia,,24000,2607,24000,2607
542,,Sri Lanka,,5354,642,5354,642
543,,United Arab Emirates,,15000,2019,15000,2019
544,3038200.0,RAYS&SKATES.EX.LIV&ROES.FROXEN,KG,,,240187,46338
545,,"Korea, Republic of",,,,,
546,,Malaysia,,,,196212,40420
547,,Singapore,,,,7875,2130
548,,Thailand,,,,36100,3788
549,3038900.0,OTH FISH FROZEN EXCL.LIVER&ROE,KG,,,1898220,430068
550,,Bahrain,,,,9550,2233
551,,Bangladesh,,,,53926,12514
552,,China,,,,676759,125756
553,,Egypt(U.A.R.),,,,131480,40758
554,,Hong Kong S.A.Re.Chi,,,,,
555,,Indonesia,,,,11320,3321
556,,Japan,,,,120834,33035
557,,"Korea, Republic of",,,,219000,55520
558,,Malaysia,,,,66365,10812
559,,O.Asia(Tai.For.Pe.Ki,,,,141680,30469
560,,Saudi Arabia,,,,43865,8635
561,,Sri Lanka,,,,58488,8821
562,,Thailand,,,,181556,41106
563,,United Arab Emirates,,,,67083,30288
564,,Viet Nam,,,,116314,26801
565,3043200.0,CATFISH F.FILLET&MEAT.FRE/CHI,KG,,,10666,3894
566,,Thailand,,,,10666,3894
567,3043900.0,OTH FISH FILLET/MEAT FRESH/CHI,KG,15750,8323,848748,262445
568,,"Korea, Republic of",,,,650100,190233
569,,Kuwait,,,,7800,3588
570,,Malaysia,,11750,6273,51180,20623
571,,Singapore,,,,10500,4819
572,,Thailand,,4000,2050,129023,43116
573,,United Arab Emirates,,,,145,67
574,,Thailand,,13856,6366,13856,6366
575,3045900.0,OTH FILLETS OF OTH FISH.FR/CHI,KG,,,56185,20534
576,,Kuwait,,,,46725,17254
577,,U.S.America,,,,8250,2917
578,,United Arab Emirates,,,,1210,364
579,3046200.0,FROZE FILLET/MEAT.CATFISH FISH,KG,,,24860,2957
580,,Thailand,,,,24860,2957
581,3046900.0,FROZEN FILLET OF OTH TILAPIAS,KG,,,14210,6951
582,,O.Asia(Tai.For.Pe.Ki,,,,13000,6068
583,,United Arab Emirates,,,,1210,883
584,3048900.0,FROZEN FILLET/MEAT OF OTH FISH,KG,,,1815573,322517
585,,China,,,,1253897,251013
586,,Kuwait,,,,136500,7620
587,,O.Asia(Tai.For.Pe.Ki,,,,27000,4068
588,,Saudi Arabia,,,,47675,5828
589,,Sri Lanka,,,,350501,53988
590,3049900.0,OT FISH FILET/MEAT FRE/CH/FROZ,KG,402243,118116,4726786,1093082
591,,Bahrain,,,,21157,6488
592,,Bangladesh,,,,59500,2617
593,,China,,,,,
594,,Indonesia,,,,,
595,,Japan,,87300,18003,310300,79984
596,,"Korea, Republic of",,184545,67761,2754469,721583
597,,Malaysia,,44358,7583,344331,67012
598,,O.Asia(Tai.For.Pe.Ki,,,,,
599,,Singapore,,,,34500,8126
600,,Sri Lanka,,,,,
601,,Thailand,,48040,8681,475878,108075
602,,United Arab Emirates,,,,,
603,,Viet Nam,,38000,16088,726651,99198
604,3051000.0,"FLOUR,MEAL&PELTS FOR FOR HUMAN",KG,356800,37013,5038200,537866
605,,China,,337800,35233,4224200,456129
606,,Egypt(U.A.R.),,,,589000,65262
607,,Hong Kong S.A.Re.Chi,,,,,
608,,Netherlands,,,,,
609,,Sri Lanka,,19000,1780,95000,8332
610,,Viet Nam,,,,130000,8143
611,3052000.0,"LIVERS&ROES,DRIED,SMOKED,SALT",KG,13640,1386,218873,23306
612,,Bangladesh,,13640,1386,188654,19931
