,HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6
0,,,,QUANTITY,VALUE,QUANTITY,VALUE
37727,,Afghanistan,,,,200,10
37728,,Bahrain,,,,,
37729,,Czech Republic,,,,72145,2223
37730,,Hong Kong S.A.Re.Chi,,,,8715,891
37731,,Japan,,,,46214,844
37732,,Kenya,,66422,4427,96676,5846
37733,,"Korea, Republic of",,,,,
37734,,Malawi,,,,,
37735,,Mozambique,,,,2860,547
37736,,Oman,,,,,
37737,,Saudi Arabia,,,,,
37738,,South Sudan,,,,1795,65
37739,,Sudan,,,,,
37740,,U.R.of Tanzania,,,,22795,880
37741,,U.S.America,,,,72,30
37742,,United Arab Emirates,,500,26,7510,343
37743,,United Kingdom,,13506,1046,25506,1630
37744,69021010.0,"REF BRICK,TILE>50%MG,CA<=1600C",KG,79680,956,365444,4218
37745,,India,,79680,956,175680,2058
37746,,South Sudan,,,,189764,2160
37747,69021090.0,"OTH REF.BRICK,TILE>50%MG,CA",KG,118075,3665,754263,33572
37748,,Afghanistan,,6000,157,98478,2948
37749,,India,,112000,3506,112000,3506
37750,,Kenya,,75,2,90325,3978
37751,,Mali,,,,,
37752,,Mozambique,,,,18000,318
37753,,Oman,,,,7530,365
37754,,Qatar,,,,8000,65
37755,,Saudi Arabia,,,,16710,473
37756,,Senegal,,,,23250,9878
37757,,South Sudan,,,,500,44
37758,,Sri Lanka,,,,191970,6592
37759,,Sudan,,,,,
37760,,Turkey,,,,4500,163
37761,,U.R.of Tanzania,,,,115200,4008
37762,,United Arab Emirates,,,,14000,164
37763,,United Kingdom,,,,53800,1070
37764,69022010.0,"CERAMIC>50%SILICA,ALUM<=1600C",KG,69600,899,323200,3573
37765,,Mali,,,,,
37766,,Senegal,,69600,899,294200,3196
37767,,U.R.of Tanzania,,,,29000,377
37768,69022090.0,"OTH REF. BRICK TILE>50% SIL,AL",KG,43156,1924,67156,2598
37769,,Kenya,,,,2000,349
37770,,United Arab Emirates,,43156,1924,43156,1924
37771,,United Kingdom,,,,22000,325
37772,69029090.0,OTH REFRECT BRICK/BLOCK TILE,KG,150,5,55852,1473
37773,,Kenya,,150,5,2150,49
37774,,Saudi Arabia,,,,100,40
37775,,U.R.of Tanzania,,,,2530,52
37776,,United Arab Emirates,,,,,
37777,,United Kingdom,,,,51072,1332
37778,69032010.0,COLD TUNDISH LINING SLIDE GATE,KG,,,25165,281
37779,,Sudan,,,,25165,281
37780,,United Arab Emirates,,,,,
37781,69032090.0,OTH REFRAC GOOD WT> 50%ALUMINA,KG,,,7725,339
37782,,Oman,,,,3000,30
37783,,Saudi Arabia,,,,4725,309
37784,,United Arab Emirates,,,,,
37785,69039010.0,"REFRACTRY PROD,INCL OVAN,KILN",KG,,,1200,400
37786,,U.R.of Tanzania,,,,,
37787,,United Arab Emirates,,,,1200,400
37788,69039090.0,OTH REFRACTORY CERAMIC GOODS,KG,,,113465,3981
37789,,Kuwait,,,,,
37790,,Saudi Arabia,,,,9840,489
37791,,Sudan,,,,,
37792,,U.R.of Tanzania,,,,,
37793,,United Arab Emirates,,,,103625,3491
37794,69041000.0,CERAMIC BUILDING BRICKS,KG,,,3125096,55597
37795,,Afghanistan,,,,,
37796,,Czech Republic,,,,,
37797,,"Korea, Republic of",,,,257600,1840
37798,,Poland,,,,78855,789
37799,,Saudi Arabia,,,,10410,104
37800,,Senegal,,,,22000,309
37801,,United Arab Emirates,,,,,
37802,,United Kingdom,,,,2756231,52555
37803,69049000.0,OTH C/FLOORING BLOCKS F/TILE,KG,756000,5120,13119423,116482
37804,,Afghanistan,,,,268666,1614
37805,,Bahrain,,,,,
37806,,China,,,,23500,200
37807,,Germany,,,,44000,416
37808,,Japan,,,,7000,52
37809,,"Korea, Republic of",,,,84000,591
37810,,Netherlands,,,,48720,301
37811,,Oman,,,,,
37812,,Saudi Arabia,,,,,
37813,,Sweden,,,,,
37814,,Turkey,,,,,
37815,,U.S.America,,,,,
37816,,United Arab Emirates,,,,137637,2068
37817,,United Kingdom,,756000,5120,12505900,111240
37818,69051000.0,ROOFING TILES,KG,,,8940,446
37819,,Oman,,,,2050,134
37820,,Saudi Arabia,,,,6890,312
37821,69059000.0,"OTH CHIMNEY-POTS,COWLS,ETC.",KG,,,73770,2468
37822,,Afghanistan,,,,30000,468
37823,,Japan,,,,3800,133
37824,,Lebanon,,,,12700,845
37825,,Saudi Arabia,,,,,
37826,,South Sudan,,,,70,23
37827,,United Arab Emirates,,,,7200,243
37828,,United Kingdom,,,,20000,756
37829,69060000.0,CERAMIC PIPES CONDUITS&FITING,KG,,,,
37830,,Canada,,,,,
37831,,United Arab Emirates,,,,,
37832,,United Kingdom,,,,,
37833,69071000.0,TILES CUBES ETC W/N RECT<7CM,KG,70486,2611,1066336,34261
37834,,Afghanistan,,70486,2611,1066336,34261
37835,,Australia,,,,,
37836,,United Kingdom,,,,,
37837,69079000.0,"OTH,UNGLAZED CERAMICS",KG,,,102910,3707
37838,,Afghanistan,,,,55110,2435
37839,,Mozambique,,,,,
37840,,Spain,,,,47800,1272
37841,69081000.0,TILES CUBES AND SIMILAR ARTICL,KG,,,3863,1583
37842,,Afghanistan,,,,3863,1583
37843,,United Kingdom,,,,,
37844,69089010.0,OTHER TILES,KG,18669,1232,445381,19247
37845,,Afghanistan,,18669,1232,330839,13894
37846,,Bahrain,,,,42852,2967
37847,,Lebanon,,,,,
37848,,Oman,,,,4950,103
37849,,Saudi Arabia,,,,8100,253
37850,,Somalia,,,,37645,1355
37851,,U.S.America,,,,11700,427
37852,,United Arab Emirates,,,,8535,210
37853,,United Kingdom,,,,760,37
37854,,Yemen,,,,,
37855,69089090.0,OTH GLAZED CERAMIC MOSAIC CUBE,KG,600,42,71010,3845
37856,,Afghanistan,,,,48000,3068
37857,,Canada,,,,9000,274
37858,,Japan,,600,42,600,42
37859,,U.S.America,,,,,
37860,,United Arab Emirates,,,,13410,460
37861,,United Kingdom,,,,,
37862,69091100.0,LAB CERM WARE PORCELAIN/CHINA,KG,,,,
37863,,United Arab Emirates,,,,,
37864,,Afghanistan,,20450,854,20450,854
37865,,United Kingdom,,,,847,14
37866,69099000.0,OTH CERAMIC WARES AND SIMILARS,KG,,,124,72
37867,,Afghanistan,,,,,
37868,,Malaysia,,,,,
37869,,Thailand,,,,124,72
37870,69101010.0,"WASH BASIN, CERAMIC",NO,46,137,20050,41827
37871,,Kuwait,,,,40,50
37872,,Oman,,,,2274,5248
37873,,Saudi Arabia,,,,13967,32750
37874,,United Arab Emirates,,46,137,3767,3772
37875,,United Kingdom,,,,2,6
37876,69101020.0,BATH TUB CERMIC OF PORCELAIN,NO,,,2,16
37877,,United Arab Emirates,,,,,
37878,,United Kingdom,,,,2,16
37879,69101050.0,SINK CERAMIC OF PORCELAIN/CHI,NO,27,2,117,202
37880,,Kenya,,27,2,27,2
37881,,Qatar,,,,90,200
37882,,United Arab Emirates,,,,,
37883,69101060.0,TOILET CERAMIC OF PORC/CHINA,NO,,,66,148
37884,,Mozambique,,,,61,129
37885,,U.S.America,,,,3,5
37886,,United Kingdom,,,,2,15
37887,69101080.0,WATER LOSET PANS OF PORC/CHIN,NO,,,,
37888,,Saudi Arabia,,,,,
37889,69101090.0,OTH CERAMIC SANITARY FIXTURES,NO,150,156,18621,16389
37890,,Afghanistan,,150,156,10382,7343
37891,,U.S.America,,,,2326,3571
37892,,United Arab Emirates,,,,5913,5475
37893,69109000.0,OTH CERAMIC SINKS WASHBASIN PE,NO,3914,8508,362546,296154
37894,,Afghanistan,,2341,4373,85037,49713
37895,,Iran ( Islamic R.),,,,,
37896,,Jordan,,,,,
37897,,Kenya,,,,25,18
37898,,Kuwait,,,,2635,2132
37899,,Lebanon,,,,848,729
37900,,Mozambique,,,,,
37901,,Oman,,402,2085,33466,29326
37902,,Romania,,,,,
37903,,Saudi Arabia,,946,1086,209752,183119
37904,,South Africa,,,,1952,759
37905,,Sudan,,,,,
37906,,U.S.America,,,,135,125
37907,,United Arab Emirates,,225,964,28686,30219
37908,,United Kingdom,,,,10,13
37909,,Canada,,,,25,2
37910,,Djibouti,,,,1,6
37911,,Egypt(U.A.R.),,,,850,5334
37912,,Hong Kong S.A.Re.Chi,,,,,
37913,,Kenya,,,,,..
37914,,Malawi,,,,740,5139
37915,,Mauritius,,,,3,19
37916,,Mozambique,,,,,
37917,,New Zealand,,,,6871,1107
37918,,Nigeria,,,,,
37919,,Norway,,,,3,25
37920,,Oman,,,,1,4
37921,,Saudi Arabia,,,,,
37922,,Singapore,,,,130,5475
37923,,South Africa,,,,,
37924,,South Sudan,,,,10,255
37925,,U.R.of Tanzania,,,,,
37926,,U.S.America,,,,,
37927,,United Arab Emirates,,,,,
37928,,United Kingdom,,15,49,230,2175
37929,69111020.0,DISHES OF PORCELAIN OR CHINA,DOZ,,,20,25
37930,,United Kingdom,,,,20,25
37931,69111030.0,PLATES OR PORCELAIN OR CHINA,DOZ,,,2873,2903
37932,,Australia,,,,,
37933,,Canada,,,,10,11
37934,,Oman,,,,2860,2889
37935,,Saudi Arabia,,,,,
37936,,United Arab Emirates,,,,,
37937,,United Kingdom,,,,3,4
37938,69111040.0,TEA CUPS AND SAUCERS.,DOZ,6,2,1487,2878
37939,,Bahrain,,,,217,135
37940,,Guyana,,,,10,9
37941,,Ireland,,3,1,3,1
37942,,Jordan,,,,,
37943,,Madagascar,,,,,
37944,,Oman,,,,160,170
37945,,Somalia,,,,763,2295
37946,,Thailand,,,,,
37947,,U.R.of Tanzania,,,,100,161
37948,,U.S.America,,,,5,1
37949,,United Arab Emirates,,3,1,229,106
37950,,United Kingdom,,,,,
37951,69111090.0,OT PORC/CHINA TABLE/KITCHEN WA,DOZ,10227,4012,75089,28569
37952,,Australia,,,,1,2
37953,,Austria,,,,750,312
37954,,France,,,,,
37955,,Germany,,,,366,149
37956,,Hong Kong S.A.Re.Chi,,,,10,5
37957,,Italy,,,,20,12
37958,,Japan,,,,269,115
37959,,"Korea, Republic of",,,,4,2
37960,,Kuwait,,2080,834,3180,1561
37961,,Madagascar,,330,134,2192,1238
37962,,Malaysia,,,,9,5
37963,,Mozambique,,,,597,299
37964,,New Zealand,,,,4,2
37965,,Oman,,,,3860,3624
37966,,Saudi Arabia,,5500,2114,30797,9900
37967,,Singapore,,,,3,2
37968,,South Africa,,,,500,342
37969,,Sri Lanka,,,,200,140
37970,,Sweden,,,,30,74
37971,,Togo,,,,,
37972,,U.R.of Tanzania,,2000,803,26277,7753
37973,,U.S.America,,260,104,1406,607
37974,,United Arab Emirates,,,,1633,769
37975,,United Kingdom,,57,23,2981,1658
37976,69119000.0,OTH HOUSEHOLD ARTICLES OF PORN,DOZ,1945,5370,152901,56785
37977,,Afghanistan,,,,,
37978,,Australia,,,,705,793
37979,,Bangladesh,,,,,
37980,,Belgium,,,,1640,404
37981,,Canada,,,,430,436
37982,,Comoros,,,,,
37983,,Denmark,,,,1850,660
37984,,Djibouti,,,,1,4
37985,,France,,,,1468,2258
37986,,Gambia,,,,,
37987,,Germany,,,,20,39
37988,,Ghana,,,,,
37989,,Hong Kong S.A.Re.Chi,,500,1563,500,1563
37990,,Ireland,,,,260,594
37991,,Japan,,,,1130,367
37992,,Kenya,,,,4,5
37993,,Kuwait,,,,,
37994,,Madagascar,,,,12,5
37995,,Malawi,,,,,
37996,,Netherlands,,,,7247,3278
37997,,O.Asia(Tai.For.Pe.Ki,,,,,
37998,,Oman,,650,1827,2010,2641
37999,,Qatar,,,,66,165
38000,,Saudi Arabia,,600,1380,92583,26158
38001,,Senegal,,,,,
38002,,Singapore,,,,6300,2241
38003,,South Africa,,,,7,5
38004,,Spain,,,,,
38005,,Thailand,,,,,
38006,,Turkey,,,,1933,1694
38007,,U.R.of Tanzania,,176,532,798,795
38008,,U.S.America,,,,5975,1798
38009,,United Arab Emirates,,7,21,7782,703
38010,,United Kingdom,,12,47,20180,10177
38011,,Yemen,,,,,
38012,69120010.0,TABLE/ KITCHENWARE O/TH CHINA,DOZ,,,2313,1642
38013,,Afghanistan,,,,,
38014,,Australia,,,,809,300
38015,,Belgium,,,,4,9
38016,,Canada,,,,60,52
38017,,Japan,,,,300,529
38018,,Kenya,,,,,
38019,,Madagascar,,,,,
38020,,Nigeria,,,,,
38021,,Qatar,,,,100,10
38022,,Switzerland,,,,,
38023,,U.R.of Tanzania,,,,,
38024,,U.S.America,,,,200,106
38025,,United Kingdom,,,,840,636
38026,69120090.0,OTH ARTICLES O/TH PORCELAIN,DOZ,50001,24943,1469649,136678
38027,,Afghanistan,,,,2371,2703
38028,,Bahrain,,,,300,155
38029,,Belgium,,,,8,5
38030,,Canada,,,,257,157
38031,,Denmark,,,,10100,542
38032,,Djibouti,,,,140,626
38033,,France,,,,30,21
38034,,Germany,,,,23000,646
38035,,Ireland,,,,,
38036,,Japan,,,,6650,3250
38037,,Mozambique,,,,,
38038,,Netherlands,,,,,
38039,,Oman,,,,1450,142
38040,,Saudi Arabia,,1,1,25476,6428
38041,,Spain,,,,,
38042,,Turkey,,,,,
38043,,U.S.America,,,,67,197
38044,,United Arab Emirates,,,,218,683
38045,,United Kingdom,,50000,24943,1399582,121123
38046,69139000.0,"OTH STATUTTES, ORNAMENT",DOZ,,,433,616
38047,,Bangladesh,,,,,
38048,,Saudi Arabia,,,,433,616
38049,,U.S.America,,,,,
38050,69141000.0,OTH CERAMIC ARTICLES OF PORCEL,KG,,,330,35
38051,,Afghanistan,,,,330,35
38052,69149000.0,OTH CERAMIC ARTICLES O/TH PORN,KG,64250,4719,3314262,127307
38053,,Afghanistan,,,,17020,550
38054,,Belgium,,,,,
38055,,Canada,,,,160,13
38056,,Denmark,,,,,
38057,,France,,,,575700,20112
38058,,Germany,,,,189507,4908
38059,,Ireland,,,,,
38060,,Italy,,,,178300,5948
38061,,Japan,,,,23590,861
38062,,Kenya,,,,,
38063,,"Korea, Republic of",,,,4600,158
38064,,Mozambique,,,,,
38065,,Netherlands,,,,49982,1839
38066,,O.Asia(Tai.For.Pe.Ki,,,,11000,345
38067,,Oman,,,,,
38068,,Poland,,,,66500,2812
38069,,Saudi Arabia,,,,105408,3255
38070,,South Africa,,,,8380,383
38071,,Sweden,,,,,
38072,,Turkey,,,,,
38073,,U.S.America,,,,640,32
38074,,United Arab Emirates,,1250,37,30475,684
38075,,United Kingdom,,63000,4683,2053000,85410
38076,70010000.0,"CULLET AND OTH WAST&SCRAP,GLAS",KG,275865,1960,1189855,8136
38077,,United Arab Emirates,,275865,1960,1189855,8136
38078,70021000.0,BALLS IN GLASS UNWORKED,KG,8000,836,64615,6587
38079,,Ireland,,,,22680,2495
38080,,Japan,,,,10220,543
38081,,Sri Lanka,,8000,836,8000,836
38082,,U.S.America,,,,1600,795
38083,,United Kingdom,,,,22115,1918
38084,70022000.0,RODS IN GLASS UNWORKED,KG,,,11042,133
38085,,U.R.of Tanzania,,,,11042,133
38086,70023990.0,OTH TUBE IN GLASS UNWORKED N.S,KG,,,360,84
38087,,Jordan,,,,360,84
38088,70031900.0,OTH NON WIRED SHEETS OF GLASS,KG,,,2107,438
38089,,Afghanistan,,,,,
38090,,India,,,,2107,438
38091,70049000.0,OTHER GLASS,KG,260,27,26235,860
38092,,Afghanistan,,,,23660,560
38093,,Oman,,,,,
38094,,South Sudan,,,,800,104
38095,,Sri Lanka,,260,27,1675,175
38096,,United Arab Emirates,,,,100,21
38097,70051000.0,NON-WIRED GLASS HAVE ABSORBENT,KG,,,72695,6371
38098,,Afghanistan,,,,72695,6371
38099,70052100.0,"NON-WIRED GLASS COLOURED,OP/FE",KG,,,345800,36308
38100,,Afghanistan,,,,,
38101,,India,,,,339638,33217
38102,,Sri Lanka,,,,6162,3091
38103,70052900.0,"OTHER,  NON-WIRED GLASS",KG,262771,92638,4695019,730600
38104,,Afghanistan,,49022,2373,994980,116723
38105,,Brazil,,,,,
38106,,India,,111649,86591,3481160,592931
38107,,Mozambique,,,,,
38108,,South Africa,,,,33000,1666
38109,,Sri Lanka,,100000,3500,181153,18147
38110,,Turkey,,,,2626,958
38111,,U.R.of Tanzania,,,,,
38112,,Uganda,,2100,175,2100,175
38113,70060010.0,GLASS PLATE WORKED NOT FRAMED,KG,81,15,137,34
38114,,Belgium,,,,56,19
38115,,Italy,,81,15,81,15
38116,70060090.0,"OTH GL OF H70.03,04,05 WORKED",KG,,,100,21
38117,,Afghanistan,,,,,
38118,,Oman,,,,100,21
38119,70071119.0,OTHER GLASSES FOR VEH CH-87,KG,,,800,43
38120,,China,,,,800,43
38121,70072119.0,OTH LAMIN SAFETY GLASSES CH-87,KG,,,400,112
38122,,Australia,,,,400,112
38123,,Nigeria,,,,,
38124,70091010.0,"R-VIEW MIRRO VEH H-8703,4&8711",KG,,,48,11
38125,,Japan,,,,18,3
38126,,O.Asia(Tai.For.Pe.Ki,,,,,
38127,,United Arab Emirates,,,,30,8
38128,70091090.0,OTH REAR VIEW MIRRORS FOR VEHI,KG,,,76392,6523
38129,,Afghanistan,,,,1000,103
38130,,India,,,,10036,2064
38131,,Kuwait,,,,,
38132,,Mozambique,,,,,
38133,,Saudi Arabia,,,,278,43
38134,,South Africa,,,,33497,2393
38135,,Sri Lanka,,,,6000,917
38136,,Turkey,,,,25100,970
38137,,U.S.America,,,,400,21
38138,,United Arab Emirates,,,,,
38139,,United Kingdom,,,,81,11
38140,70099100.0,UNFRAMED GLASS  MIRRORS,KG,,,148196,7610
38141,,Afghanistan,,,,145952,7130
38142,,India,,,,,
38143,,Sri Lanka,,,,1044,387
38144,,U.S.America,,,,1200,94
38145,,United Arab Emirates,,,,,
38146,70099200.0,FRAMED GLASS MIRRORS,KG,,,2070,329
38147,,Afghanistan,,,,,
38148,,Bangladesh,,,,,
38149,,Saudi Arabia,,,,600,92
38150,,U.S.America,,,,300,159
38151,,United Arab Emirates,,,,1170,78
38152,,China,,,,,
38153,70102000.0,"STOPPERS,LIDS AND OTH CLOSURES",GR,,,8150,3075
38154,,U.R.of Tanzania,,,,8150,3075
38155,70109000.0,"OTH CARBOYS BOTT,FLASK,JAR,POT",GR,4220,7727,126346,80321
38156,,Afghanistan,,90,177,6751,11365
38157,,Azerbaijan,,,,,
38158,,Bangladesh,,,,750,928
38159,,Belgium,,,,1338,2007
38160,,Denmark,,1270,1756,4524,5893
38161,,Ecuador,,,,,
38162,,France,,,,1198,1497
38163,,Germany,,,,2047,3008
38164,,Indonesia,,,,,
38165,,Kenya,,1490,3065,54629,20442
38166,,Kuwait,,,,450,586
38167,,Malaysia,,,,155,197
38168,,Mauritius,,,,382,369
38169,,Mozambique,,,,,
38170,,Netherlands,,,,29128,1870
38171,,Papua New Guinea,,,,17,21
38172,,Philippines,,,,9600,12572
38173,,Saudi Arabia,,,,,
38174,,South Africa,,,,44,57
38175,,Sri Lanka,,,,104,59
38176,,Sudan,,,,,
38177,,Trinidad and Tobago,,,,80,79
38178,,Turkey,,1370,2728,5334,7069
38179,,U.R.of Tanzania,,,,7225,8241
38180,,U.S.America,,,,68,49
38181,,United Arab Emirates,,,,30,37
38182,,United Kingdom,,,,2492,3973
38183,,Uruguay,,,,,
38184,,Zambia,,,,,
38185,70111000.0,FOR ELECTRIC LIGHTING,KG,,,182,177
38186,,Maldives,,,,,
38187,,Netherlands,,,,117,12
38188,,Saudi Arabia,,,,62,162
38189,,United Kingdom,,,,3,3
38190,70119000.0,"OTHER, GLASS ENVELOPES",KG,1000,31,2626,824
38191,,Afghanistan,,1000,31,2625,822
38192,,Canada,,,,1,2
38193,,Egypt(U.A.R.),,,,,
38194,,Kenya,,,,,
38195,,United Arab Emirates,,,,,
38196,70131000.0,INDOOR DECOR OF GLASS CERAMICS,GR,62700,4118,253886,33780
38197,,Afghanistan,,62700,4118,242453,29127
38198,,Bangladesh,,,,3548,1912
38199,,Brazil,,,,,
38200,,Cameroon,,,,457,1353
38201,,Kuwait,,,,6403,1252
38202,,Madagascar,,,,,
38203,,South Africa,,,,,
38204,,United Arab Emirates,,,,1000,52
38205,,United Kingdom,,,,,
38206,70132200.0,STEMWARE DRIN GLA LEAD CRYSTAL,GR,,,,
38207,,Bangladesh,,,,,
38208,70132800.0,OTH STEMWARE DRINKING GLASS,GR,,,2140,194
38209,,Australia,,,,2120,141
38210,,Canada,,,,,
38211,,Finland,,,,,
38212,,France,,,,,
38213,,Gambia,,,,,
38214,,Mozambique,,,,20,54
38215,,United Kingdom,,,,,
38216,,Yemen,,,,,
38217,70133700.0,OTH DRINKING GLASS O/T GL-CEMI,GR,1519,8135,194002,95074
38218,,Afghanistan,,,,60199,33513
38219,,Argentina,,,,18809,1603
38220,,Australia,,,,,
38221,,Bangladesh,,,,39234,3531
38222,,Brazil,,,,13294,4517
38223,,Cameroon,,,,23040,8601
38224,,China,,,,80,209
38225,,"Co,te d,Ivoire(Fr.Iv",,,,,
38226,,Ghana,,,,,
38227,,India,,,,12508,584
38228,,Japan,,,,,
38229,,Jordan,,,,700,4197
38230,,Kenya,,,,130,889
38231,,Malawi,,,,,
38232,,Mozambique,,,,400,1565
38233,,Netherlands,,,,591,3378
38234,,Oman,,,,16980,1826
38235,,Paraguay,,,,813,1627
38236,,Philippines,,,,150,1439
38237,,Poland,,953,5213,953,5213
38238,,Saudi Arabia,,,,,
38239,,Slovenia,,,,284,570
38240,,South Africa,,,,,
38241,,Spain,,216,979,216,979
38242,,U.R.of Tanzania,,,,1717,5475
38243,,U.S.America,,,,2154,5446
38244,,United Arab Emirates,,,,1200,6201
38245,,United Kingdom,,350,1943,550,3713
38246,,Uruguay,,,,,
38247,70134100.0,"G-WARE TABLE,KICH LEAD CRYSTAL",GR,,,,
38248,,Australia,,,,,
38249,70134200.0,G-WARE LINEAR C-EXPENSION-5x10,GR,,,,
38250,70134900.0,"O-GL-WARE L-C-EX=5x10 T,0-300C",GR,56,52,95162,2143
38251,,Afghanistan,,,,94990,947
38252,,Japan,,,,7,918
38253,,Madagascar,,56,52,56,52
38254,,U.R.of Tanzania,,,,,
38255,,United Arab Emirates,,,,109,226
38256,,United Kingdom,,,,,
38257,70139100.0,OTH GLASS-WARE OF LEAD CRYSTAL,GR,,,704,569
38258,,U.S.America,,,,704,569
38259,70139900.0,O-GLASSWARE INDOOR DECORATION,GR,27,115,1822,5873
38260,,Afghanistan,,,,20,21
38261,,Australia,,,,,
38262,,Azerbaijan,,,,,
38263,,Canada,,,,,
38264,,Denmark,,,,,
38265,,Libya,,,,,
38266,,Madagascar,,,,,
38267,,Mauritius,,,,,
38268,,Mozambique,,,,409,2410
38269,,Oman,,,,,
38270,,Saudi Arabia,,,,,
38271,,Somalia,,,,,
38272,,U.S.America,,,,,
38273,,United Arab Emirates,,27,115,249,1158
38274,,United Kingdom,,,,1144,2284
38275,70151000.0,GLASS FOR CORRECTIVE SPECTACLE,KG,,,,
38276,,U.S.America,,,,,
38277,70159000.0,OTH CLOCK/WATCH/NON-CORRETVE,KG,,,2,21
38278,,Mozambique,,,,2,21
38279,70161000.0,GLASS CUBES/OTH SMALLWARE,KG,,,18100,7199
38280,,Bahrain,,,,550,4457
38281,,France,,,,,
38282,,Qatar,,,,,
38283,,Saudi Arabia,,,,,
38284,,U.R.of Tanzania,,,,1290,102
38285,,U.S.America,,,,15000,2131
38286,,United Arab Emirates,,,,1260,509
38287,70169000.0,OTH PAVING BLOCKS/SLABS/BRICKS,KG,,,38,7
38288,,Afghanistan,,,,,
38289,,United Arab Emirates,,,,38,7
38290,70171010.0,QUART REACTOR TUBE & HOLDERS,KG,,,5664,422
38291,,Afghanistan,,,,5664,422
38292,70171090.0,OTH LAB HYG/PHAR GLASSWARE,KG,,,1204,483
38293,,Azerbaijan,,,,,
38294,,Nigeria,,,,,
38295,70172000.0,LAB HYG/PHAR GLASSWARE L/C=10K,KG,,,,
38296,,Saudi Arabia,,,,,
38297,70179000.0,OTH LAB GLASSWARE ETC N.S.,KG,,,2200,468
38298,,Thailand,,,,2200,468
38299,70181000.0,"GLASS BEADS, S/PERAL/PRE-STON",KG,1432,157,4765,717
38300,,Afghanistan,,600,52,1600,153
38301,,Bangladesh,,52,14,2096,310
38302,,Fiji,,,,,
38303,,Malaysia,,,,33,14
38304,,Mauritius,,780,91,780,91
38305,,Nepal,,,,6,3
38306,,Thailand,,,,,
38307,,U.S.America,,,,250,146
38308,,United Kingdom,,,,,
38309,70182000.0,GLASS MICROSPHERRES=1MM DIA,KG,,,,
38310,,Libya,,,,,
38311,70189010.0,GLASS EYES,KG,,,,
38312,,Oman,,,,,
38313,,Sudan,,,,,
38314,70189090.0,OTH FANCY DECORATIVE ART-GLASS,KG,,,16249,1054
38315,,Afghanistan,,,,,
38316,,Bangladesh,,,,,
38317,,Canada,,,,,
38318,,Germany,,,,,
38319,,Italy,,,,,
38320,,Kuwait,,,,,
38321,,Libya,,,,,
38322,,Oman,,,,,
38323,,Saudi Arabia,,,,41,15
38324,,Senegal,,,,,
38325,,Trinidad and Tobago,,,,20,6
38326,,Turkey,,,,250,311
38327,,U.S.America,,,,,
38328,,United Arab Emirates,,,,,
38329,,United Kingdom,,,,15938,722
38330,70191900.0,OTH YARN OF GLASS FIBRE/THREAD,KG,,,3404,1662
38331,,Saudi Arabia,,,,3317,1643
38332,,U.S.America,,,,87,18
38333,,United Arab Emirates,,,,,
38334,70193100.0,GLASS MATS,KG,,,85,69
38335,,Italy,,,,85,69
38336,,Netherlands,,,,,
38337,,Singapore,,,,,
38338,70193900.0,"OTH WEBS,MATTRESSES,BOARD ETC",SQM,,,,
38339,,Saudi Arabia,,,,,
38340,70195900.0,OTH WOVEN FABRICS,KG,,,,
38341,,Qatar,,,,,
38342,70199010.0,INSULATING SLEEVES,KG,,,40,8
38343,,Oman,,,,40,8
38344,70199090.0,OTH CLASS FIBRE/ARTICLES,KG,,,3591,595
38345,,Saudi Arabia,,,,3591,595
38346,,Senegal,,,,,
38347,70200090.0,"OTHER, ARTICLES OF GLASS, N.S.",KG,,,2598,518
38348,,Canada,,,,,
38349,,Oman,,,,,
38350,,Saudi Arabia,,,,1800,416
38351,,U.S.America,,,,13,5
38352,,United Arab Emirates,,,,,
38353,,United Kingdom,,,,785,97
38354,71011000.0,NATURAL PEARLS,GM,,,,
38355,,Hong Kong S.A.Re.Chi,,,,,
38356,71012200.0,CULTURED PEARLS WORKED,GM,4396,268,125106,8854
38357,,Australia,,,,,
38358,,Bahrain,,,,,
38359,,Canada,,,,,
38360,,China,,,,150,126
38361,,France,,,,,
38362,,Germany,,832,45,52185,3807
38363,,Greece,,,,865,40
38364,,Hong Kong S.A.Re.Chi,,,,3600,175
38365,,Italy,,,,350,15
38366,,Japan,,,,428,23
38367,,Nepal,,,,4150,205
38368,,Netherlands,,,,3605,256
38369,,Singapore,,,,25,2
38370,,Spain,,,,1200,71
38371,,Switzerland,,3564,223,4962,458
38372,,Thailand,,,,300,155
38373,,U.S.America,,,,11340,1008
38374,,United Kingdom,,,,41946,2515
38375,71021000.0,"UNSORTED, (ROUGH) DIAMONDS",GM,3000,406,31520,5565
38376,,Canada,,,,7000,152
38377,,U.S.America,,,,6814,1710
38378,,United Arab Emirates,,,,14706,3296
38379,,United Kingdom,,3000,406,3000,406
38380,71022900.0,OTH IND DIAMONDS O/WISE WORKED,KG,,,22490,1479
38381,,U.S.America,,,,22490,1479
38382,71031000.0,UN-WORKED/SIMPLY SAWN PRE-STON,GM,357620,25401,5937941,360219
38383,,Australia,,,,3311,270
38384,,Austria,,,,49686,3623
38385,,Azerbaijan,,,,,
38386,,Belgium,,1400,73,11645,675
38387,,Canada,,36650,2101,378577,22843
38388,,China,,51520,5291,1012914,66966
38389,,Denmark,,,,1322,83
38390,,Estonia,,,,522,52
38391,,Finland,,,,,
