HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6,JUNE.1,Unnamed: 8,CUMULATIVE FROM JULY.1,Unnamed: 10
,,,QUANTITY,VALUE,QUANTITY,VALUE,QUANTITY,VALUE,QUANTIT,VALUE
,O.Asia(Tai.For.Pe.Ki,,,,,,,,702,271
,Oman,,,,,,,,230,162
,Qatar,,,,,,,,183929,58044
,Saudi Arabia,,,,95525,33117,,,511261,167761
,Senegal,,,,40000,7398,,,,
,South Africa,,11575,2257,11575,2257,,,,
,Thailand,,,,1037,324,,,33961,10722
,U.S.America,,112129,22844,112129,22844,,,36115,16787
,United Arab Emirates,,,,2263,709,,,382618,131290
,Viet Nam,,,,5137,2113,,,,
3024300,"SARDINES,BRISLING/SPRATS FR/CH",KG,,,254164,22679,55930,3771,2066790,167355
,Afghanistan,,,,,,,,7000,608
,American Samoa,,,,101500,9430,,,,
,Fiji,,,,,,,,75000,5753
,Indonesia,,,,42740,6531,27930,1750,1719425,130037
,Japan,,,,,,,,12000,1872
,"Korea, Republic of",,,,,,,,2350,1505
,Malaysia,,,,,,,,45115,6476
,O.Asia(Tai.For.Pe.Ki,,,,28000,1927,28000,2021,200500,17806
,Thailand,,,,81924,4790,,,5400,3296
3024400,"MACKERAL EXCL LIVER,ROE FR/CHI",KG,,,,,,,400000,58520
,Thailand,,,,,,,,400000,58520
3025900,O.FISH BREG FAMILIES E.LIV F/C,KG,,,5420,1570,,,,
,Saudi Arabia,,,,5420,1570,,,,
3028900,OTH FISH EXCL LVR/ROES FRE/CHL,KG,,,,,,,293998,88371
,Canada,,,,,,,,6510,2063
,Kuwait,,,,,,,,16795,5866
,O.Asia(Tai.For.Pe.Ki,,,,,,,,725,303
,Saudi Arabia,,,,,,,,22911,8087
,U.S.America,,,,,,,,16670,3778
,United Arab Emirates,,,,,,,,230387,68275
3029000,LIVERS & ROES FRESH OR CHILLED,KG,,,,,,,500,87
,Afghanistan,,,,,,,,500,87
3031900,"O.SALMONIDAE FROZ,EX.LIVER&ROE",KG,2328237,574136,33902761,8690477,1427290,356810,22681227,5693540
,Afghanistan,,,,1752,405,,,,
,Bahrain,,,,13436,3362,,,,
,Bangladesh,,2635,924,60679,13730,10550,3459,92779,22787
,Belgium,,16950,3756,169800,50060,20650,8259,82390,30921
,China,,392166,88373,2979956,772070,258545,46054,1725622,384244
,Cyprus,,14590,6339,101158,35974,,,,
,Egypt(U.A.R.),,,,,,,,27030,7071
,Greece,,,,90040,29029,,,43200,15100
,Hong Kong S.A.Re.Chi,,,,,,,,22000,15015
,Indonesia,,40987,4336,243522,69888,,,155140,35350
,Iraq,,,,41525,13149,,,,
,Italy,,28420,9259,80728,30266,8560,2139,30160,10327
,Japan,,,,15644,7700,6580,3648,60940,28212
,Jordan,,,,16967,5383,,,,
,"Korea, Republic of",,24000,7419,710855,201839,17652,5822,716456,228156
,Kuwait,,,,136020,34711,,,499000,112727
,Malaysia,,30750,6279,1291640,323090,90297,14524,797369,206011
,Mauritius,,,,9000,2262,,,,
,Netherlands,,,,,,,,23140,5448
,O.Asia(Tai.For.Pe.Ki,,,,284648,52053,34630,4420,187314,40077
,Saudi Arabia,,25300,2649,116672,27116,26000,2983,26000,2983
,Singapore,,19860,3387,157660,34215,10274,4140,121889,35756
,South Africa,,,,,,,,28000,5537
,Spain,,40040,16067,253022,80266,23746,7564,264372,90055
,Sri Lanka,,40000,4640,73000,10598,,,,
,Thailand,,796690,211123,11929062,3063704,237144,42946,5984510,1409488
,U.S.America,,15000,2777,182528,46216,,,15000,2071
,United Arab Emirates,,7978,2513,455388,151824,53651,14808,646653,207840
,United Kingdom,,69677,19858,639379,228088,76655,37166,622948,254201
,Viet Nam,,763194,184438,13848680,3403481,552356,158879,10509315,2544160
3032400,CATFISH EXCL.LIVER/ROES FROZEN,KG,,,3690,1580,,,56632,19109
,Malaysia,,,,,,,,640,212
,Sri Lanka,,,,,,,,7894,1739
,Thailand,,,,3690,1580,,,48098,17158
3032600,EELS EXCL LVESR&ROES FROZEN,KG,,,,,,,55600,10073
,Viet Nam,,,,,,,,55600,10073
3032900,O.TILAPIAS.EX.LIVERS&ROES FROZ,KG,682004,220408,5657523,2028102,308840,139428,2680939,1143572
,Bahrain,,,,517,203,,,740,228
,Bangladesh,,,,2700,1487,19000,8814,28800,12863
,Canada,,,,,,,,1020,743
,China,,32392,12147,281412,88532,12000,5186,76960,31209
,Fiji,,,,78933,15210,8000,3831,26300,13198
,Hong Kong S.A.Re.Chi,,,,6208,2859,,,,
,Indonesia,,14539,4798,433958,112014,21000,9740,68632,31259
,Iraq,,7420,1932,75790,20588,4700,2170,13700,6361
,Japan,,14062,4711,78688,30867,,,55373,23492
,Jordan,,,,,,,,2495,778
,"Korea, Republic of",,,,325261,102575,34000,15190,350463,146695
,Kuwait,,99170,41155,678392,280356,52209,23137,1069067,471646
,Malaysia,,,,54580,24512,,,12000,5527
,O.Asia(Tai.For.Pe.Ki,,14355,4074,56272,21722,,,25364,10555
,Oman,,,,,,,,500,208
,Qatar,,,,,,5331,2592,6431,3104
,Saudi Arabia,,,,85102,36364,,,96461,39375
,Singapore,,,,17500,6390,,,,
,Thailand,,483016,123169,2162416,708943,104600,47243,366336,150372
,U.S.America,,,,2400,1219,,,22393,14696
,United Arab Emirates,,,,3435,1315,,,2710,827
,Viet Nam,,17050,28421,1313959,572945,48000,21525,455194,180438
